iter	Passed	Remaining
816	23252	5208
817	23279	5179
818	23307	5150
819	23332	5121
820	23358	5092
821	23384	5063
822	23411	5035
823	23441	5007
824	23468	4978
825	23497	4949
826	23526	4921
827	23553	4892
828	23578	4863
829	23608	4835
830	23634	4806
831	23663	4778
832	23691	4749
833	23716	4720
834	23746	4692
835	23776	4664
836	23805	4635
837	23832	4607
838	23859	4578
839	23886	4549
840	23914	4521
841	23943	4493
842	23970	4464
843	23994	4435
844	24027	4407
845	24059	4379
846	24099	4353
847	24127	4324
848	24157	4296
849	24190	4268
850	24221	4240
851	24251	4212
852	24279	4184
853	24306	4155
854	24332	4126
855	24362	4098
856	24389	4069
857	24418	4041
858	24449	4013
859	24493	3987
860	24520	3958
861	24547	3929
862	24573	3900
863	24600	3872
864	24626	3843
865	24655	3815
866	24682	3786
867	24709	3757
868	24736	3728
869	24766	3700
870	24792	3671
871	24820	3643
872	24846	3614
873	24873	3585
874	24900	3557
875	24927	3528
876	24954	3499
877	24981	3471
878	25006	3442
879	25034	3413
880	25063	3385
881	25088	3356
882	25117	3328
883	25145	3299
884	25171	3270
885	25200	3242
886	25228	3214
887	25255	3185
888	25281	3156
889	25307	3127
890	25333	3099
891	25360	3070
892	25388	3042
893	25415	3013
894	25442	2984
895	25471	2956
896	25495	2927
897	25526	2899
898	25552	2870
899	25578	2842
900	25606	2813
901	25633	2784
902	25661	2756
903	25689	2728
904	25721	2700
905	25752	2671
906	25780	2643
907	25807	2614
908	25834	2586
909	25861	2557
910	25885	2528
911	25913	2500
912	25938	2471
913	25965	2443
914	25990	2414
915	26018	2386
916	26047	2357
917	26074	2329
918	26102	2300
919	26129	2272
920	26156	2243
921	26186	2215
922	26217	2187
923	26249	2159
924	26281	2130
925	26310	2102
926	26344	2074
927	26374	2046
928	26405	2018
929	26434	1989
930	26463	1961
931	26494	1933
932	26527	1904
933	26560	1876
934	26590	1848
935	26621	1820
936	26653	1792
937	26682	1763
938	26712	1735
939	26740	1706
940	26773	1678
941	26802	1650
942	26830	1621
943	26858	1593
944	26884	1564
945	26911	1536
946	26940	1507
947	26969	1479
948	26994	1450
949	27021	1422
950	27047	1393
951	27075	1365
952	27100	1336
953	27126	1307
954	27151	1279
955	27178	1250
956	27205	1222
957	27231	1193
958	27260	1165
959	27289	1137
960	27318	1108
961	27347	1080
962	27374	1051
963	27400	1023
964	27425	994
965	27452	966
966	27480	937
967	27507	909
968	27540	881
969	27568	852
970	27604	824
971	27635	796
972	27668	767
973	27704	739
974	27735	711
975	27763	682
976	27795	654
977	27823	625
978	27852	597
979	27883	569
980	27913	540
981	27941	512
982	27970	483
983	28000	455
984	28030	426
985	28061	398
986	28094	370
987	28125	341
988	28152	313
989	28184	284
990	28212	256
991	28244	227
992	28270	199
993	28301	170
994	28335	142
995	28366	113
996	28392	85
997	28421	56
998	28450	28
999	28479	0
